Name,Url,Authority,Started On,Finished On,License Number
Data protection basics,https://online.atingi.org/admin/tool/certificate/index.php?code=8992189994MM,atingi.org,May 2025,,8992189994MM
Artificial Intelligence for Policy Makers,https://online.atingi.org/admin/tool/certificate/index.php?code=2721734589MM,atingi.org,May 2025,,2721734589MM
Digital Soft Skills Training,https://online.atingi.org/admin/tool/certificate/index.php?code=2296832077MM,atingi.org,May 2025,,2296832077MM
Ethical AI in Practice,https://online.atingi.org/admin/tool/certificate/index.php?code=0147101903MM,atingi.org,May 2025,,0147101903MM
Interpersonal Communication,https://online.atingi.org/admin/tool/certificate/index.php?code=2029657962MM,atingi.org,May 2025,,2029657962MM
AI Transfer Learning,https://online.atingi.org/admin/tool/certificate/index.php?code=8232376495MM,atingi.org,Apr 2025,,8232376495MM
GovStack : Consent Building Block,https://online.atingi.org/admin/tool/certificate/index.php?code=7057496151MM,atingi.org,Apr 2025,,7057496151MM
eCommerce in EU Marketplaces,https://online.atingi.org/admin/tool/certificate/index.php?code=4103117233MM,atingi.org,Apr 2025,,4103117233MM
Political Microtargeting: Dangers and Regulation of Data-Driven Campaigning,https://online.atingi.org/admin/tool/certificate/index.php?code=2503797835MM,atingi.org,Apr 2025,,2503797835MM
Cybersecurity,https://online.atingi.org/admin/tool/certificate/index.php?code=9123833022MM,atingi.org,Apr 2025,,9123833022MM
Digital and Social Media Marketing,https://online.atingi.org/admin/tool/certificate/index.php?code=0227754474MM,atingi.org,Apr 2025,,0227754474MM
Computing Skills for Business,https://online.atingi.org/admin/tool/certificate/index.php?code=1072538540MM,atingi.org,Apr 2025,,1072538540MM
E-Commerce and E-Business,https://online.atingi.org/admin/tool/certificate/index.php?code=3124242360MM,atingi.org,Apr 2025,,3124242360MM
Human Centered Design Crash Course,https://online.atingi.org/admin/tool/certificate/index.php?code=8659548751MM,atingi.org,Apr 2025,,8659548751MM
An Introduction to AI & Emerging Technologies,https://online.atingi.org/admin/tool/certificate/index.php?code=6404405368MM,atingi.org,Apr 2025,,6404405368MM
Digital Safety and Security,https://online.atingi.org/admin/tool/certificate/index.php?code=7741112872MM,atingi.org,Apr 2025,,7741112872MM
Conflict Management and Resolution,https://online.atingi.org/admin/tool/certificate/index.php?code=6112074836MM,atingi.org,Apr 2025,,6112074836MM
Customer Care & Complaint Management,https://online.atingi.org/admin/tool/certificate/index.php?code=3739856940MM,atingi.org,Apr 2025,,3739856940MM
"IS-00100.c: Introduction to Incident Command System, ICS-100",,FEMA,Apr 2025,,SID: 0009284968
"IS-00200.c: Basic Incident Command System for Initial Response, ICS-200",,FEMA,Apr 2025,,SID: 0009284968
IS-00700.b: An Introduction to the National Incident Management System,,FEMA,Apr 2025,,SID: 0009284968
IS-00703.b: National Incident Management System Resource Management,,FEMA,Apr 2025,,SID: 0009284968
"IS-00800.d: National Response Framework, An Introduction",,FEMA,Apr 2025,,SID: 0009284968
"IS-00860.c: The National Infrastructure Protection Plan, An Introduction",,FEMA,Apr 2025,,SID: 0009284968
IS-00906: Workplace Security Awareness,,FEMA,Apr 2025,,SID: 0009284968
IS-00915: Protecting Critical Infrastructure Against Insider Threats,,FEMA,Apr 2025,,SID: 0009284968
Networking Devices and Initial Configuration,https://www.credly.com/badges/a70f1c3f-fb28-4622-bef6-bdafaea54109/linked_in_profile,Cisco,Jun 2025,,
English for IT 2,https://www.credly.com/badges/76214c56-9843-437f-a7d0-10627168338d/linked_in_profile,Cisco,May 2025,,
English for IT 1,https://www.credly.com/badges/a1a11c98-d3c6-48b3-90bc-27030543cf05/linked_in_profile,Cisco,May 2025,,
Cyber Threat Management,https://www.credly.com/badges/6557dedf-725f-4a51-a236-195706cde6cd/linked_in_profile,Cisco,May 2025,,
Network Defense,https://www.credly.com/badges/97a615bd-0046-4eee-9ee6-98719596f98a/linked_in_profile,Cisco,May 2025,,
Endpoint Security,https://www.credly.com/badges/f49f1b18-5ed6-48af-bc55-58558ed90f3c/linked_in_profile,Cisco,May 2025,,
Ethical Hacker,https://www.credly.com/badges/df36c674-8cb3-4f4e-99b5-4b9f0229919a/linked_in_profile,Cisco,May 2025,,
Networking Basics,https://www.credly.com/badges/32625e7f-b279-4f06-88d4-82bab263cb80/linked_in_profile,Cisco,May 2025,,
Introduction to Cybersecurity,https://www.credly.com/badges/0ac50b77-f7fd-4558-a443-131a662662ad/linked_in_profile,Cisco,May 2025,,
SkillsBuild - Customer Engagement: Problem Solving and Process Controls,https://www.credly.com/badges/5224c7c6-2d4e-4102-a2dc-336ad4525560/linked_in_profile,IBM,May 2025,,
Security Operations Center in Practice,https://www.credly.com/badges/ec05f6d4-e40f-411c-a1d6-be846852c59a/linked_in_profile,IBM,May 2025,,
Getting Started with Threat Intelligence and Hunting,https://www.credly.com/badges/b886fa27-b019-46aa-b43a-ce199c70e831/linked_in_profile,IBM,May 2025,,
Enterprise Security in Practice,https://www.credly.com/badges/d4064e3d-4c09-4b5e-bb72-a675dd4b3709/linked_in_profile,IBM,May 2025,,
Getting Started with Cybersecurity,https://www.credly.com/badges/48fa938e-4a51-4d40-baa3-859ae6a8e0ec/linked_in_profile,IBM,May 2025,,
Enterprise Design Thinking Co-Creator,https://www.credly.com/badges/ea94dd17-4302-4686-b432-9610bc17dbdc/linked_in_profile,IBM,May 2025,,
Enterprise Design Thinking Practitioner,https://www.credly.com/badges/d8fc8d9a-f0b9-41fb-bc5c-96d728a89d9b/linked_in_profile,IBM,May 2025,,
Data Fundamentals,https://www.credly.com/badges/bd5c2999-ce57-467b-a337-a3108ce97239/linked_in_profile,IBM,May 2025,,
SkillsBuild - Customer Engagement: Communication and Personality Dynamics,https://www.credly.com/badges/c10a468d-45a8-4b55-9780-9aabbd1e062f/linked_in_profile,IBM,May 2025,,
Information Technology Fundamentals,https://www.credly.com/badges/e1213d00-fcb7-44f3-bac3-41538bb85a38/linked_in_profile,IBM,May 2025,,
Cybersecurity Fundamentals,https://www.credly.com/badges/af404a65-65d1-47c2-9e97-bcef684ea685/linked_in_profile,IBM,May 2025,,
Customer Engagement Fundamentals,https://www.credly.com/badges/113a5c0f-1b82-4ba8-a594-2d8749841a1a/linked_in_profile,IBM,May 2025,,
A Practical Introduction to Cloud Computing,,EC-Council,May 2025,,411406
Android Bug Bounty Hunting: Hunt Like a Rat,,EC-Council,May 2025,,411416
Cybersecurity for Businesses - The Fundamental Edition,,EC-Council,May 2025,,411410
English for Career Development,https://www.coursera.org/account/accomplishments/records/LOK3REKDHZTP,University of Pennsylvania,May 2025,,LOK3REKDHZTP
Cryptography,https://www.coursera.org/account/accomplishments/records/GEY6FGDWL4WX,University of Maryland,May 2025,,GEY6FGDWL4WX
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Priva and Microsoft Purview",https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/2DTXBBAV?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
MS-900 Introduction to Microsoft 365: Describe Microsoft 365 security and compliance capabilities,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/NVQ92XMF?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft security solutions",https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/UR75YHY3?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Create detections and perform investigations using Microsoft Sentinel,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/H72LPEK8?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Connect logs to Microsoft Sentinel,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/NVQCKVDF?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Perform threat hunting in Microsoft Sentinel,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/CXRJ77H9?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Configure your Microsoft Sentinel environment,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/D93MC52J?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Create queries for Microsoft Sentinel using Kusto Query Language (KQL),https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/JUHQC5ST?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Mitigate threats using Microsoft Defender for Cloud,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/FMECNDSX?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Mitigate threats using Microsoft Purview,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/QSLYRQWE?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Mitigate threats using Microsoft Security Copilot,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/W2MGSMDN?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Enhance security operations by using Microsoft Security Copilot,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/D93V73FJ?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Learn how Microsoft supports using multifactor authentication as part of a cybersecurity solution,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/XQEQLCLY?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
MD-102 Explore endpoint management,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/E5L5WGVP?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Mitigate threats using Microsoft Defender XDR,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/9YRYPX2U?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Defend against threats with Microsoft 365,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/JU3UAGUT?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-300: Implement an identity management solution,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/2DJDUMRV?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Manage identity and access in Microsoft Entra ID,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/URARPRB3?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
SC-200: Mitigate threats using Microsoft Defender for Endpoint,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/JU3CJMWT?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Entra",https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/K6CLWTEB?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Defend against cyberthreats with Microsoft Defender XDR,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/URAXL9G3?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Enhance endpoint security with Microsoft Intune and Microsoft Copilot for Security,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/A4KEGXM7?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
MS-900 Introduction to Microsoft 365: Describe Microsoft 365 apps and services,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/3A7YVN4H?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the concepts of security, compliance, and identity",https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/NVM79ABF?sharingId=D0A837AA2B2A29D0,Microsoft,May 2025,,
Examine ransomware and extortion-based threats,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/BCX5MEVD?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Implement API Management,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/3A4F6C4H?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Create serverless applications,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/H7KYFC48?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Architect API integration in Azure,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/YE5VVKPR?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Implement Microsoft Purview Information Protection,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/JUR6WMVT?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
SC-400: Implement Information Protection in Microsoft 365,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/9YENZJTU?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Implement and manage Microsoft Purview Data Loss Prevention,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/8ZBRBCHW?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
SC-400: Implement Data Loss Prevention,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/3A4XBYFH?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Manage information protection and governance,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/K6F523YB?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
SC-400: Implement Data Lifecycle and Records Management,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/VJUKXL3M?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
"Introduction to Dark Web, Anonymity, and Cryptocurrency",,EC-Council,May 2025,,411879
MS-101 Manage content search and investigations in Microsoft 365,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/7K6KBSSZ?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
SC-400: Monitor and investigate data and activities by using Microsoft Purview,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/PLWL62B4?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Govern and protect sensitive information in the age of AI,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/H7K7EHM8?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Audit and search activity in Microsoft Purview,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/A4G4LBT7?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
"Learn how Microsoft supports data discovery, classification, and protection as part of a cybersecurity solution",https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/K6F6RTFB?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
AI Center of Excellence,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/QSHSFWNE?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
MS-102 Implement compliance in Microsoft 365,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/H7K7LTA8?sharingId=D0A837AA2B2A29D0,Microsoft,Jun 2025,,
Artificial Intelligence Fundamentals,https://www.credly.com/badges/7f72399e-3539-4a86-8a96-cdc8a6925195/linked_in_profile,IBM,Jun 2025,,
Fundamentals of digital marketing,https://skillshop.exceedlms.com/student/award/ce1yQosX4B8CiREp7Ng7a7o7,Google,Jun 2025,,
Engaging Stakeholders for Success,https://www.credly.com/badges/754899a5-3c4d-41b3-932c-c92fe822fddc/,Cisco,Jun 2025,,
Junior Cybersecurity Analyst Career Path,https://www.credly.com/badges/fddc50a4-c9b9-49d9-83d1-ee2ad183229c/,Cisco,Jun 2025,,
Business Analysis & Process Management,https://coursera.org/verify/YUPTDHGTVD5B,Coursera,Jun 2025,,
Introduction to CRM with HubSpot,https://coursera.org/verify/Y0EZV6L0DLLU,Coursera,Jun 2025,,
Digital Safety and Security Awareness,https://www.credly.com/badges/b37a3023-525b-43a7-9182-8e3e88fe0edd/,Cisco,Jun 2025,,
Project Management Fundamentals I,https://www.credly.com/badges/02c618d8-4b0e-408d-b260-650ca1d91943/,IBM,Jun 2025,,
Fundamentals of Sustainability and Technology,https://www.credly.com/badges/88a6ff0c-9b3e-4f14-8fef-5d5acfe7f33a/,IBM,Jun 2025,,
Network Support and Security,https://www.credly.com/badges/5a501780-f2ee-4797-b378-28d36dd8cc7f/,Cisco,Jun 2025,,
Conversion Optimisation Certification,https://skillshop.credential.net/6c0dfd0c-4ca0-4623-9a00-4606a6c206a3#acc.KfIqdnu1,Google,Jun 2025,Jun 2026,
AWS Foundations: Getting Started with the AWS Cloud Essentials,,Amazon Web Services (AWS),Jun 2025,,
AWS Identity and Access Management - Identity Center Getting Started,,Amazon Web Services (AWS),Jun 2025,,
AWS Security Incident Response  - Ransomware Use Case,,Amazon Web Services (AWS),Jun 2025,,
AWS Cloud Practitioner Essentials,,Amazon Web Services (AWS),Jun 2025,,
Project Management Fundamentals II,https://www.credly.com/badges/7e26cfa6-6d78-44a2-94e8-3ced5a99de3b/,IBM,Jun 2025,,
Working in a Digital World: Professional Skills,https://www.credly.com/badges/a65ba908-c89e-47a6-807c-577e32ac6bf7/,IBM,Jun 2025,,
Big Data 101,https://courses.skillsbuild.skillsnetwork.site/certificates/3b3ec5e26568455286bc245b7cb3c1db,IBM,Jul 2025,,
IBM Hadoop Foundations - Level 1,https://www.credly.com/badges/8bd50603-7a27-4854-8b0c-2ef4db34e820/,IBM,Jul 2025,,
IBM Blockchain Foundation Developer,https://courses.skillsbuild.skillsnetwork.site/certificates/c741d266d5f348f49bfbd5e48ffa8595,IBM,Jul 2025,,
Improve Customer Support with AI-powered Voice Services,https://courses.skillsbuild.skillsnetwork.site/certificates/0b56117d9a584e08b1c0be2454e7d39d,IBM,Jul 2025,,
Mathematical Optimization for Business Problems,https://courses.skillsbuild.skillsnetwork.site/certificates/4765cd824c33417297942ca1233fb786,IBM,Jul 2025,,
Enterprise Design Thinking - Team Essentials for AI,https://www.credly.com/badges/83e0940c-b158-4b58-94fc-cedf19f23d57/linked_in_profile,IBM,Jul 2025,,
Quantum Enigmas,https://www.credly.com/badges/1d7ac237-8d4a-44f9-8fd4-524de4134fea/linked_in_profile,IBM,Jul 2025,,
Grow Offline Sales Certification,https://skillshop.credential.net/abd97dcd-a8c7-418d-8427-26d7d4660bdb,Google,Jul 2025,Jul 2026,155201254
IS-00005.a: An Introduction to Hazardous Materials,,FEMA,Jul 2025,,SID: 0009284968
IS-00010.a: Animals in Disasters: Awareness and Preparedness,,FEMA,Jul 2025,,SID: 0009284968
IS-00011.a: Animals in Disasters: Community Planning,,FEMA,Jul 2025,,SID: 0009284968
IS-00013: NDEMU Conduct and Behavior,,FEMA,Jul 2025,,SID: 0009284968
IS-00015.b: Special Events Contingency Planning for Public Safety Agencies,,FEMA,Jul 2025,,SID: 0009284968
IS-00026: Guide to Points of Distribution,,FEMA,Jul 2025,,SID: 0009284968
IS-00027: Orientation to FEMA Logistics,,FEMA,Jul 2025,,SID: 0009284968
IS-00029.a: Public Information Officer Awareness,,FEMA,Jul 2025,,SID: 0009284968
IS-00035.25: FEMA Safety Orientation 2025,,FEMA,Jul 2025,,SID: 0009284968
IS-00036.a: Preparedness for Child Care Providers,,FEMA,Jul 2025,,SID: 0009284968
ISO/IEC 27001 Information Security Associate™,https://www.skillfront.com/Badges/49914240643760,SkillFront,Jul 2025,,
ISO/IEC 20000 IT Service Management Associate™,https://www.skillfront.com/Badges/08491684097129,SkillFront,Jul 2025,,
ISO 9001 Quality Management Systems Associate™,https://www.skillfront.com/Badges/01274689849739,SkillFront,Jul 2025,,
"Ethical Hacking: Mobile Platform, IoT, and OT Hacking",https://app.cybrary.it/profile/mike-edward-moras?tab=cert-completion&cert=CC-fbf1aeda-76a7-4b3d-923d-acba2496bcaa,Cybrary,Jul 2025,,CC-fbf1aeda-76a7-4b3d-923d-acba2496bcaa
Digital Forensics Basics,https://app.cybrary.it/profile/mike-edward-moras?tab=cert-completion&cert=CC-b36eafc8-76a2-4cde-8c5b-9d454e140711,Cybrary,Jul 2025,,CC-b36eafc8-76a2-4cde-8c5b-9d454e140711
Network Addressing and Basic Troubleshooting,https://www.credly.com/badges/17b06af8-ead4-4557-b95e-9a93f06f43c1/linked_in_profile,Cisco,Jul 2025,,
Network Technician Career Path,https://www.credly.com/badges/e3e0518a-152c-461d-b167-b8b38b80e1d5/linked_in_profile,Cisco,Jul 2025,,
IS-00037.25: Managerial Safety and Health 2025,,FEMA,Jul 2025,Jul 2027,SID: 0009284968
Embrace responsible AI principles and practices,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/BC2CBY6D?sharingId=D0A837AA2B2A29D0,Microsoft,Jul 2025,,
Leverage AI tools and resources for your business,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/URTAH5N3?sharingId=D0A837AA2B2A29D0,Microsoft,Jul 2025,,
Create business value from AI,https://learn.microsoft.com/api/achievements/share/en-us/Mike-Edward-Moras/XQ9EAZ2Y?sharingId=D0A837AA2B2A29D0,Microsoft,Jul 2025,,
Defensive Security and Cyber Risk,,Cybrary,Jul 2025,,Certificate ID: CC-7bfad47d-0678-43fc-bda9-e172f1d53c22
Overview of Data Visualization,https://www.coursera.org/account/accomplishments/records/59XTMZ6VAP0N,Coursera,Jul 2025,,59XTMZ6VAP0N
Introduction to Business Analysis Using Spreadsheets,https://www.coursera.org/account/accomplishments/records/MUIJCEJ6PDOP,Coursera,Jul 2025,,MUIJCEJ6PDOP
Project Management: Creating the WBS,https://www.coursera.org/account/accomplishments/records/EZ4QR3OR5IBG,Coursera,Jul 2025,,EZ4QR3OR5IBG
Get Started with HubSpot,https://www.coursera.org/account/accomplishments/records/N1V0GNYFFMSR,Coursera,Jul 2025,,N1V0GNYFFMSR
